config,model,weighting,lambda_amp,mean_RMSE,mean_MAPE,mean_shape_MSE,mean_abs_log_amplitude,max_abs_log_amplitude,fold_RMSE_std,donor_sensitivity,mean_pulse_variance
Model_B_weighted_lam10.0,Model_B,weighted,10.0,3726.07634055184,16.215315729902684,0.9000072441602084,1.2908990651369094,1.2911288738250732,3504.0795148654274,8383.283963861202,0.33747848868370056
Model_C_uniform_lam0.001,Model_C,uniform,0.001,1105.423363818134,3.620858852476194,0.24297611251960155,2.7001877427101135,2.700761604309082,1395.6655510857693,3446.3357565898873,0.08579506725072861
Model_C_uniform_lam0.01,Model_C,uniform,0.01,1129.6221207600388,3.954280117438708,0.4530591241031666,2.71791867017746,2.718005132675171,1345.7663304114694,3338.167563814754,0.27467456459999084
Model_C_uniform_lam0.1,Model_C,uniform,0.1,3388.7299199084855,14.292828042385176,0.5459707820531169,1.5789471745491028,1.5789911031723023,4328.657489585956,10299.048111364864,0.32767820358276367
Model_C_uniform_lam1.0,Model_C,uniform,1.0,6076.783512510834,19.030645856260378,0.9008482640712803,1.479774460196495,1.4797779202461243,8914.596731914096,21308.38744813809,0.6070398688316345
Model_C_uniform_lam10.0,Model_C,uniform,10.0,2534.974146980029,9.9038568787841,0.658096073652322,1.9191400945186614,1.9192914962768555,3498.5187781564664,8685.633273176196,0.44240880012512207
Model_C_weighted_lam0.001,Model_C,weighted,0.001,687.2068299054793,2.8256404086826796,0.20456038201250043,2.5792246580123903,2.581229591369629,676.5367138652211,1698.4098568335032,0.04496657848358154
Model_C_weighted_lam0.01,Model_C,weighted,0.01,3714.0597605533317,8.569014567714893,0.8579161860970373,2.116507816314697,2.1178364753723145,5958.551517807728,14217.663612178212,0.48393431305885315
Model_C_weighted_lam0.1,Model_C,weighted,0.1,2995.6281472329647,10.319543974006898,1.0274572615436275,2.0084733963012695,2.0084867238998414,4119.292346444265,9592.29462142793,0.4307987689971924
Model_C_weighted_lam1.0,Model_C,weighted,1.0,2390.7861476726466,9.023602934062357,0.9049511795490066,2.4886266708374025,2.4886462688446045,3035.5986785994396,7266.1470069443185,0.3958546221256256
Model_C_weighted_lam10.0,Model_C,weighted,10.0,1783.264790192427,4.699036247894999,0.2655512716774142,2.1570676445960997,2.1573415994644165,2695.5430525402244,6487.835218230223,0.10168517380952835
