config,model,weighting,lambda_amp,donor,RMSE,MAPE,shape_MSE,SARIMA_RMSE,baseline_RMSE,improvement_vs_sarima_pct,improvement_vs_baseline_pct,a_transfer,fold_RMSE_std,mean_abs_log_amplitude,max_abs_log_amplitude
Model_A_uniform_lam1.0,Model_A,uniform,1.0,EGY,7837.252871257753,45.874869031781756,0.45159096507067303,505.52449107628684,1048.0907244490409,-1450.3211040422298,-647.7647391047784,0.43423745036125183,6693.8448199312315,0.8341637849807739,0.8341638445854187
Model_A_uniform_lam10.0,Model_A,uniform,10.0,EGY,5595.7194402906025,30.18875003074485,1.088946765362915,505.52449107628684,1048.0907244490409,-1006.913619234755,-433.8964757303957,0.7046415954828262,28469.188203887632,0.3500659614801407,0.350066214799881
Model_B_weighted_lam0.001,Model_B,weighted,0.001,EGY,701.0253442413673,3.656179979046951,0.29293108410079355,505.52449107628684,1048.0907244490409,-38.672874730331934,33.11405893703701,0.08137433975934982,1512.813063989642,2.498780071735382,2.5216715335845947
Model_B_weighted_lam0.01,Model_B,weighted,0.01,EGY,2260.729238498762,11.62640825740224,0.3043570281299035,505.52449107628684,1048.0907244490409,-347.20469104979594,-115.69976584681439,0.21617922745645046,4159.25438358484,1.5316496789455414,1.5316541194915771
Model_B_weighted_lam0.1,Model_B,weighted,0.1,EGY,5683.035917401013,33.20485726399073,0.3835640396380073,505.52449107628684,1048.0907244490409,-1024.186071638497,-442.2274794377619,0.34715033508837223,11970.796497579391,1.0554204285144806,1.0610742568969727
Model_B_weighted_lam1.0,Model_B,weighted,1.0,EGY,6888.152814301373,35.76345464828376,0.3493825840711576,505.52449107628684,1048.0907244490409,-1262.5754905832857,-557.2095958508105,0.4664010386914015,10984.29105605943,0.762708991765976,0.7627098560333252
Model_B_weighted_lam10.0,Model_B,weighted,10.0,EGY,4435.154109712608,24.549437884279225,1.2573639572712751,505.52449107628684,1048.0907244490409,-777.3371395458892,-323.16509499156905,0.39012446254491806,3504.0795148654274,0.9412744492292404,0.9413077235221863
Model_B_uniform_lam0.001,Model_B,uniform,0.001,EGY,605.7323978483781,2.90570965428487,0.5155928097928378,505.52449107628684,1048.0907244490409,-19.82256221825053,42.206110242336244,0.06106147728860378,1179.3055519620902,2.7958741784095764,2.796323299407959
Model_B_uniform_lam0.01,Model_B,uniform,0.01,EGY,2836.4552734362383,14.603164870800539,0.21460133484779512,505.52449107628684,1048.0907244490409,-461.09156401053565,-170.63070088014592,0.29222365468740463,3647.5150315202454,1.2302358448505402,1.2302360534667969
Model_B_uniform_lam0.1,Model_B,uniform,0.1,EGY,3258.161545387039,17.286226478084856,0.9716098900358371,505.52449107628684,1048.0907244490409,-544.5111172458235,-210.86636580051655,0.38943100720643997,11087.76600059581,0.9430685788393021,0.9433096647262573
Model_B_uniform_lam1.0,Model_B,uniform,1.0,EGY,3909.686410656829,19.72301317306496,0.3976495558945834,505.52449107628684,1048.0907244490409,-673.3920867677275,-273.029387576354,0.3754154294729233,2986.06157440099,0.9797220379114151,0.979723334312439
Model_B_uniform_lam10.0,Model_B,uniform,10.0,EGY,1266.9816456831143,6.391191057523939,0.5313802701550266,505.52449107628684,1048.0907244490409,-150.6271541831034,-20.88473031274461,0.16585759446024895,8063.955640723435,1.7966257333755493,1.7968530654907227
Model_C_weighted_lam0.001,Model_C,weighted,0.001,EGY,717.8913523503682,3.7138532708590266,0.3081261870377548,505.52449107628684,1048.0907244490409,-42.00921320783919,31.50484632637614,0.08568382682278752,676.5367138652211,2.455612063407898,2.4587578773498535
Model_C_weighted_lam0.01,Model_C,weighted,0.01,EGY,1941.4240941324008,10.790302721087947,1.2620167975126846,505.52449107628684,1048.0907244490409,-284.0415505881846,-85.2343550843813,0.14765690173953772,5958.551517807728,1.9128698706626892,1.9128817319869995
Model_C_weighted_lam0.1,Model_C,weighted,0.1,EGY,535.296390198893,2.8172542372110634,0.3930783595087601,505.52449107628684,1048.0907244490409,-5.889308954986603,48.92652155849513,0.05362897366285324,4119.292346444265,2.92567777633667,2.9256997108459473
Model_C_weighted_lam1.0,Model_C,weighted,1.0,EGY,613.912405727867,2.9333324718574,0.6972270482993089,505.52449107628684,1048.0907244490409,-21.44068518239679,41.42564270372798,0.02338675782084465,3035.5986785994396,3.7556050419807434,3.7556426525115967
Model_C_weighted_lam10.0,Model_C,weighted,10.0,EGY,815.7753882925495,4.284039540114675,0.2922706419486058,505.52449107628684,1048.0907244490409,-61.37208042200349,22.165575053496887,0.09518717555329204,2695.5430525402244,2.351916253566742,2.3520381450653076
Model_C_uniform_lam0.001,Model_C,uniform,0.001,EGY,814.184363422205,4.382127285450603,0.32157723653669246,505.52449107628684,1048.0907244490409,-61.05735286707197,22.317377262335324,0.09186030365526676,1395.6655510857693,2.387486517429352,2.388427257537842
