Month,Consumption_MWh
2011-08-01,36335812.841
2011-09-01,36965189.336
2011-10-01,36743770.383
2011-11-01,36368389.766
2011-12-01,36741948.783
2012-01-01,36305167.495
2012-02-01,36888067.591
2012-03-01,38635573.618
2012-04-01,37995869.167
2012-05-01,36810190.924
2012-06-01,36528393.279
2012-07-01,35917147.605
2012-08-01,37179602.794
2012-09-01,37661696.532
2012-10-01,37796014.25
2012-11-01,38643584.282
2012-12-01,37765084.36
2013-01-01,38391038.186
2013-02-01,38029466.702
2013-03-01,38468143.223
2013-04-01,38673536.713
2013-05-01,38371701.462
2013-06-01,37653536.004
2013-07-01,37723943.58
2013-08-01,38639358.179
2013-09-01,38550775.84
2013-10-01,39411959.827
2013-11-01,39945438.838
2013-12-01,39583058.05
2014-01-01,40305915.622
2014-02-01,41566187.574
2014-03-01,40273024.941
2014-04-01,39572225.569
2014-05-01,39129407.102
2014-06-01,37755865.24
2014-07-01,37816158.043
2014-08-01,38686460.56
2014-09-01,38928294.084
2014-10-01,40132081.881
2014-11-01,40987338.733
2014-12-01,39883611.647
2015-01-01,40715758.493
2015-02-01,40673351.162
2015-03-01,39720790.296
2015-04-01,39552923.499
2015-05-01,38160017.134
2015-06-01,37220116.926
2015-07-01,36777765.092
2015-08-01,37809349.908
2015-09-01,37789561.798
2015-10-01,39265963.707
2015-11-01,39208066.07
2015-12-01,38629199.706
2016-01-01,38441185.723
2016-02-01,38756965.712
2016-03-01,39479836.439
2016-04-01,40307615.949
2016-05-01,38684472.105
2016-06-01,37590445.232
2016-07-01,37298613.97
2016-08-01,37720362.486
2016-09-01,38378744.723
2016-10-01,38233197.089
2016-11-01,38787248.89
2016-12-01,38793146.598
2017-01-01,39390925.695
2017-02-01,38876216.089
2017-03-01,40588191.638
2017-04-01,39469179.804
2017-05-01,38194806.169
2017-06-01,38145630.972
2017-07-01,37313120.352
2017-08-01,37890279.692
2017-09-01,39037733.996
2017-10-01,39385247.19
2017-11-01,39865750.021
2017-12-01,39631405.246
2018-01-01,40070500.169
2018-02-01,39207354.288
2018-03-01,41139180.556
2018-04-01,40720967.305
2018-05-01,39315287.959
2018-06-01,38233798.743
2018-07-01,38544209.297
2018-08-01,39056525.016
2018-09-01,39079395.137
2018-10-01,40427599.977
2018-11-01,40441436.072000004
2018-12-01,40055543.573
2019-01-01,41816587.728
2019-02-01,41325116.805
2019-03-01,41309919.22
2019-04-01,39885843.364
2019-05-01,40658706.199999996
2019-06-01,38612535.907
2019-07-01,38484865.244
2019-08-01,38808495.944
2019-09-01,39466725.992
2019-10-01,41283798.645
2019-11-01,41994717.035000004
2019-12-01,40951665.228
2020-01-01,41330508.023
2020-02-01,40997019.353
2020-03-01,41150571.325
2020-04-01,37266109.838
2020-05-01,36134299.789
2020-06-01,35781922.419
2020-07-01,37883699.735
2020-08-01,39255767.412
2020-09-01,40363595.371
2020-10-01,42886520.622
2020-11-01,41425296.784
2020-12-01,42176495.095
2021-01-01,43080415.036
2021-02-01,41489040.004999995
2021-03-01,43666921.449999996
2021-04-01,42661738.117000006
2021-05-01,40801306.082
2021-06-01,40450616.572
2021-07-01,40210304.814
2021-08-01,40924424.411
2021-09-01,41973865.281
2021-10-01,42625708.798
2021-11-01,41886184.795
2021-12-01,42940268.985
2022-01-01,42587168.371
2022-02-01,41862294.024000004
2022-03-01,44634051.928
2022-04-01,43271683.732999995
2022-05-01,42070669.552
2022-06-01,40951239.328
2022-07-01,41246527.01
2022-08-01,42149569.312
2022-09-01,42327459.132
2022-10-01,42526681.048
2022-11-01,42732100.147
2022-12-01,43236780.835
2023-01-01,42549627.138000004
2023-02-01,43027745.067
2023-03-01,45729775.194
2023-04-01,44888692.019999996
2023-05-01,43173729.492000006
2023-06-01,42667105.528
2023-07-01,42023198.5
2023-08-01,43441196.901
2023-09-01,44487446.597
2023-10-01,46082763.77
2023-11-01,46676762.815
2023-12-01,47234582.412
2024-01-01,46978428.839
2024-02-01,46375692.522
2024-03-01,47958321.027
2024-04-01,47400759.545
2024-05-01,47113731.653
2024-06-01,45639104.47
2024-07-01,44924391.264
2024-08-01,46142989.223
2024-09-01,46414334.68
2024-10-01,48005825.57300001
2024-11-01,47379944.624000005
2024-12-01,47382255.583000004
2025-01-01,47154766.964
2025-02-01,47862502.097
2025-03-01,49237863.787
2025-04-01,47026986.845000006
2025-05-01,46673436.806
2025-06-01,45090263.508
2025-07-01,45305319.204
2025-08-01,45664267.361
2025-09-01,46044030.199999996
2025-10-01,47562267.65
2025-11-01,47421292.594
2025-12-01,47748075.727
2026-01-01,49104714.467999995
2026-02-01,47343101.796000004
